AnalysesType,Apps,Mean_Execution_time_secs,Mean_RAM_usage_Mb,Mean_Percent_CPU_usage,SD_Execution_time_secs,SD_RAM_usage_Mb,SD_Percent_CPU_usage
Alignment Concatenation ,AMAS,2.1733333333333333,1700.8735255555555,497.81111111111113,0.8973681869340748,394.2511838577455,224.41503957514885
Alignment Concatenation ,AMAS (--check-align),127.53622222222222,1700.6229644444445,158.84444444444443,185.24798913268364,394.0053903806917,70.80260756816755
Alignment Concatenation ,SEGUL CLI,2.3507777777777776,489.87283133333335,142.85555555555553,0.7675310304129024,104.39967905105652,19.659781058316085
Alignment Concatenation ,SEGUL CLI (--datatype ignore),0.9248888888888889,489.1357198888889,200.7111111111111,0.30278944530773,104.01938561760126,27.283877794690504
Alignment Concatenation ,SEGUL GUI (Android),16.73,,,0.45958918853931097,,
Alignment Concatenation ,SEGUL GUI (Linux),4.25,817.425782,,0.7321960878829599,54.28776006260663,
Alignment Concatenation ,SEGUL GUI (iPadOS),6.53,,,0.4967673276069773,,
Alignment Concatenation ,goalign (multi-core),6.531666666666666,2586.40521,103.58888888888889,1.7704517610492099,688.2722206685705,0.9348970314562545
Alignment Concatenation ,goalign (single-core),6.049777777777778,2661.3881544444444,100,1.7415523088453144,748.700023757229,0
Alignment Conversion ,AMAS,1.7443333333333333,485.9608503333333,587.7111111111111,0.566564751795881,123.664336040213,280.1043643561018
Alignment Conversion ,AMAS (--check-align),127.31355555555555,485.4315972222222,158.16666666666666,185.0726005574667,123.27833091845176,70.40768120761902
Alignment Conversion ,SEGUL CLI,0.33322222222222225,24.470139016666668,1359.0555555555557,0.07053292764834515,11.467058500539554,429.7701596636606
Alignment Conversion ,SEGUL CLI (--datatype ignore),0.365,24.646224049999997,641.3333333333333,0.12990272938288708,11.391396208119332,251.4024483000035
Alignment Conversion ,SEGUL GUI (Android),3.63,,,0.20027758514399735,,
Alignment Conversion ,SEGUL GUI (Linux),0.445,238.470314,,0.04089281382128432,17.051894642619757,
Alignment Conversion ,SEGUL GUI (iPadOS),4.25,,,1.004711124873436,,
Alignment Splitting ,AMAS,6.966555555555556,1005.4611545555556,100.44444444444444,2.5165127293744454,288.0758845427342,0.9008249790865696
Alignment Splitting ,AMAS (--remove-empty),7.701555555555555,986.282728,100.25555555555556,2.636445901447804,299.55787544615265,0.628197190667109
Alignment Splitting ,SEGUL CLI,2.8055555555555554,687.7158007777778,143.5,0.708767106661732,423.66988689804805,11.773375028026662
Alignment Splitting ,SEGUL CLI (--datatype ignore),0.8175555555555556,687.5631514444444,269.7,0.3352185639891477,423.7522618717457,71.52519003112654
Alignment Splitting ,SEGUL GUI (Android),14.51,,,0.5606543795720615,,
Alignment Splitting ,SEGUL GUI (Linux),4.86,1411.283597,,0.10011104945120816,491.0527886769854,
Alignment Splitting ,SEGUL GUI (iPadOS),6.67,,,0.14944341180973245,,
Alignment Summary ,AMAS,61.14622222222222,1379.1335995555555,313.9111111111111,17.372719643603045,366.54804532747875,23.22853942234381
Alignment Summary ,SEGUL CLI,0.8924444444444445,299.61115616666666,1735.4888888888888,0.24209901916601934,180.03308781074963,227.94323383834876
Alignment Summary ,SEGUL GUI (Android),13.77,,,0.5078276172963506,,
Alignment Summary ,SEGUL GUI (Linux),1.338,668.568355,,0.14800900873482895,160.12160923432938,
Alignment Summary ,SEGUL GUI (iPadOS),7.11,,,0.7489993324429604,,
Read Summary ,SEGUL CLI,996.738,9.03515626,198.4,3.3748140689525536,1.1770750394665532,0.8944271909999159
Read Summary ,SEGUL GUI (Linux),1008.8,187.851562,,3.7682887362833544,14.706268068263272,
Sequence Removal ,AMAS,1.678111111111111,502.1402791111111,559.4777777777776,0.3842982644443394,131.1450070329791,229.53887471677248
Sequence Removal ,AMAS (--check-align),128.12422222222222,502.1883266666667,155.48888888888894,186.35858452099586,131.12203646413496,67.89983442988274
Sequence Removal ,SEGUL CLI,0.3308888888888889,24.653776133333334,1360.5333333333333,0.06189233937175799,11.552747907997139,440.23701991979857
Sequence Removal ,SEGUL CLI (--datatype ignore),0.32633333333333336,24.636675366666665,690.3222222222223,0.09490918190032384,12.045443986476652,233.04288209229352
Sequence Removal ,SEGUL GUI (Android),3.94,,,0.47422451316743314,,
Sequence Removal ,SEGUL GUI (Linux),0.443,241.05547,,0.029458068127047585,15.722865591895136,
Sequence Removal ,SEGUL GUI (iPadOS),3.71,,,0.5566766466171262,,
